id,img_url,desc,sn,iw_TW
14562685,https://pbs.twimg.com/profile_images/1046576251949862912/axeUR8EK_normal.jpg,@ConstellationR #CEO @DisrupTVShow BestSelling #Author @HarvardBiz @hcleadership Keynoter #Futurist Provocateur #EDM #DJ #Foodie #SVLife #TaiwaneseAm🇹🇼🇺🇸,rwang0,1
7403862,https://pbs.twimg.com/profile_images/1255143161153769472/omPzEibc_normal.jpg,Digital minister. #FastFairFun #TaiwanCanHelp. */*,audreyt,1
14562685,https://pbs.twimg.com/profile_images/1046576251949862912/axeUR8EK_normal.jpg,@ConstellationR #CEO @DisrupTVShow BestSelling #Author @HarvardBiz @hcleadership Keynoter #Futurist Provocateur #EDM #DJ #Foodie #SVLife #TaiwaneseAm🇹🇼🇺🇸,rwang0,1
7389732,https://pbs.twimg.com/profile_images/1183775889454059520/3bn9oz2v_normal.jpg,"Taiwanese-American writer for @TechCrunch. Monitors new tech developments, loves old tech like spinning wheels and handlooms. she/her shu@techcrunch.com",CatherineShu,1
3068789388,https://pbs.twimg.com/profile_images/1352482520533618688/iXGKkve0_normal.jpg,"Pioneering the art of Taiwanese single malt since 2006. Aged in intense humidity and purified by the meltwaters of Snow Mountain in Yilan, Taiwan. #PureTaiwan",KavalanWhisky,1
14562685,https://pbs.twimg.com/profile_images/1046576251949862912/axeUR8EK_normal.jpg,@ConstellationR #CEO @DisrupTVShow BestSelling #Author @HarvardBiz @hcleadership Keynoter #Futurist Provocateur #EDM #DJ #Foodie #SVLife #TaiwaneseAm🇹🇼🇺🇸,rwang0,1
14562685,https://pbs.twimg.com/profile_images/1046576251949862912/axeUR8EK_normal.jpg,@ConstellationR #CEO @DisrupTVShow BestSelling #Author @HarvardBiz @hcleadership Keynoter #Futurist Provocateur #EDM #DJ #Foodie #SVLife #TaiwaneseAm🇹🇼🇺🇸,rwang0,1
4334071758,https://pbs.twimg.com/profile_images/839906362473627649/SZLPvNd6_normal.jpg,"“Sometimes We Win, Sometimes We Learn” 📈
https://t.co/lTbtVxPxPd
Professional Troublemaker | Amateur Solver
#ENFJ with a strong mind and a fragile heart 💕",ijasonwu,1
14562685,https://pbs.twimg.com/profile_images/1046576251949862912/axeUR8EK_normal.jpg,@ConstellationR #CEO @DisrupTVShow BestSelling #Author @HarvardBiz @hcleadership Keynoter #Futurist Provocateur #EDM #DJ #Foodie #SVLife #TaiwaneseAm🇹🇼🇺🇸,rwang0,1
7389732,https://pbs.twimg.com/profile_images/1183775889454059520/3bn9oz2v_normal.jpg,"Taiwanese-American writer for @TechCrunch. Monitors new tech developments, loves old tech like spinning wheels and handlooms. she/her shu@techcrunch.com",CatherineShu,1
7403862,https://pbs.twimg.com/profile_images/1255143161153769472/omPzEibc_normal.jpg,Digital minister. #FastFairFun #TaiwanCanHelp. */*,audreyt,1
32835701,https://pbs.twimg.com/profile_images/898025900326834176/2TVC9BRk_normal.jpg,Made in Taiwan. TV Chef & Food Writer. Chinese & Asian food addict. Live by Yin-Yang. 📖 #AsianGreen Pre-order signed copies from Waterstones NOW😘,Chinghehuang,1
25820473,https://pbs.twimg.com/profile_images/958615379663667200/ziEGjWqe_normal.jpg,"Industrial Technology Research Institute, a national research organization that serves to strengthen the technological competitiveness of Taiwan.",ITRI_Taiwan,1
14562685,https://pbs.twimg.com/profile_images/1046576251949862912/axeUR8EK_normal.jpg,@ConstellationR #CEO @DisrupTVShow BestSelling #Author @HarvardBiz @hcleadership Keynoter #Futurist Provocateur #EDM #DJ #Foodie #SVLife #TaiwaneseAm🇹🇼🇺🇸,rwang0,1
67710876,https://pbs.twimg.com/profile_images/1445107433/DSC00702_normal.JPG,"Journalist at the Financial Times. Baker. Taiwanese at heart. Reading and tweeting about China, Taiwan and Hong Kong's quirks. Usual disclaimers.",alicemuwu,1
14562685,https://pbs.twimg.com/profile_images/1046576251949862912/axeUR8EK_normal.jpg,@ConstellationR #CEO @DisrupTVShow BestSelling #Author @HarvardBiz @hcleadership Keynoter #Futurist Provocateur #EDM #DJ #Foodie #SVLife #TaiwaneseAm🇹🇼🇺🇸,rwang0,1
13779282,https://pbs.twimg.com/profile_images/1323361792853237761/bzVJ7GS8_normal.jpg,"Art × Tech | ½ at @APossibleSpace | @tingyilai fan club, founding member | (Film) photography, tech, art, chess, cycling, travel, Russia, Taiwan, &c. | He/him",gueorgui,1
1337150378,https://pbs.twimg.com/profile_images/378800000836587630/0829b1c8c6b7fabe04b6edd838cfc895_normal.png,Ask not why nobody is doing it. You are nobody. Become a nobody: https://t.co/m9u2HlRwSE #opendata #taiwan #opengovernment This account operated by g0v jothon & g0v intl.,g0vtw,1
4155531,https://pbs.twimg.com/profile_images/52102312/581c745dc446fead5ac1387cda00d6a0_normal.jpg,"g0v.tw, pgrest, livescript",clkao,1
7403862,https://pbs.twimg.com/profile_images/1255143161153769472/omPzEibc_normal.jpg,Digital minister. #FastFairFun #TaiwanCanHelp. */*,audreyt,1
279220669,https://pbs.twimg.com/profile_images/519401676319367168/wUhfcFEv_normal.jpeg,Local chapter for supporting #Wikipedia and  #Wikimedia communities in #Taiwan. 中華民國維基媒體協會，成立於 2007 年 2 月，致力於推廣 #維基百科 、 #維基新聞 等 #維基媒體 相關計畫，歡迎您的批評指教。,WikimediaTW,1
1358617603590086657,https://pbs.twimg.com/profile_images/1362578072982020099/LGf-yuhZ_normal.jpg,News and tips on the development of data economy. Based out of Taiwan and connecting worldwide. #dataeconomy #opendata #AODP,DataEconomyTW,1
