,id,gp,sn,image,desc,font.color,font.size,shape,title,label,group
0,5878332,0,timdavies,https://pbs.twimg.com/profile_images/517015811890761728/ePh17xSW_normal.png,"Researcher/facilitator working on #opengov, #opendata & #dataStandards.",blue,30,circularImage,"<p><l>Username: <a href=https://twitter.com/timdavies>timdavies</a><br>Bio: Researcher/facilitator working on #opengov, #opendata & #dataStandards.</p>",timdavies,Aid Transparency
1,773498743,0,rachelerank,https://pbs.twimg.com/profile_images/1241320932075081731/qC2G8vVV_normal.jpg,"Trustee @mySociety. Consulting @wethecatalysts. Started @360Giving. Data, transparency & FoI. And London cycling. Views mine (except when they're stolen).",blue,30,circularImage,"<p><l>Username: <a href=https://twitter.com/rachelerank>rachelerank</a><br>Bio: Trustee @mySociety. Consulting @wethecatalysts. Started @360Giving. Data, transparency & FoI. And London cycling. Views mine (except when they're stolen).</p>",rachelerank,Aid Transparency
2,270252442,2,GIGAPP,https://pbs.twimg.com/profile_images/1102985621881143296/QOWJ0vIS_normal.png,"Grupo de Investigación en Gobierno, Administración y Políticas Públicas Fundado en 2009 Red iberoamericana #GobernandoElFuturo #GIGAPP2021",blue,30,circularImage,"<p><l>Username: <a href=https://twitter.com/GIGAPP>GIGAPP</a><br>Bio: Grupo de Investigación en Gobierno, Administración y Políticas Públicas Fundado en 2009 Red iberoamericana #GobernandoElFuturo #GIGAPP2021</p>",GIGAPP,South America Issue
3,559350860,2,RamirezAlujas,https://pbs.twimg.com/profile_images/1086640444124160001/fEGkCEKo_normal.jpg,Soy @redmatriz! Co-Fundador de @GIGAPP Profe @inapuchile & Presidente @FMultitudes Papá @GovTechHub & @Gigappalooza Lado B @SoundCraftLab e @ImaginaryNoise,blue,30,circularImage,<p><l>Username: <a href=https://twitter.com/RamirezAlujas>RamirezAlujas</a><br>Bio: Soy @redmatriz! Co-Fundador de @GIGAPP Profe @inapuchile & Presidente @FMultitudes Papá @GovTechHub & @Gigappalooza Lado B @SoundCraftLab e @ImaginaryNoise</p>,RamirezAlujas,South America Issue
4,286865438,2,cesarncruz,https://pbs.twimg.com/profile_images/1283175517399781376/_omCPJGm_normal.jpg,(MX/ES) Ph.D Policy Researcher @GIGAPP. International Experts Panel Member IRM @opengovpart @ESAPOficial @UC3M #policychange,blue,30,circularImage,<p><l>Username: <a href=https://twitter.com/cesarncruz>cesarncruz</a><br>Bio: (MX/ES) Ph.D Policy Researcher @GIGAPP. International Experts Panel Member IRM @opengovpart @ESAPOficial @UC3M #policychange</p>,cesarncruz,South America Issue
5,370992652,2,jhdezbonivento,https://pbs.twimg.com/profile_images/1363924262675972100/Slv02mTS_normal.jpg,"Papá de Sol. Marido de Paz.

Profesor Asociado, @faceauach @UAustraldeChile
Miembro fundador @GIGAPP
Gobernanza, gobierno abierto y democracia local",blue,30,circularImage,"<p><l>Username: <a href=https://twitter.com/jhdezbonivento>jhdezbonivento</a><br>Bio: Papá de Sol. Marido de Paz.

Profesor Asociado, @faceauach @UAustraldeChile
Miembro fundador @GIGAPP
Gobernanza, gobierno abierto y democracia local</p>",jhdezbonivento,South America Issue
6,505996580,2,CeciliaGuemes,https://pbs.twimg.com/profile_images/1374435897081425935/IBw9xDtv_normal.jpg,"Profa @UAM_Madrid | Investigadora Asociada @Red_Carolina | Co-fundadora @GIGAPP  | Investigo sobre Confianza, políticas públicas y cambio social",blue,30,circularImage,"<p><l>Username: <a href=https://twitter.com/CeciliaGuemes>CeciliaGuemes</a><br>Bio: Profa @UAM_Madrid | Investigadora Asociada @Red_Carolina | Co-fundadora @GIGAPP  | Investigo sobre Confianza, políticas públicas y cambio social</p>",CeciliaGuemes,South America Issue
7,1236001195,2,novagob,https://pbs.twimg.com/profile_images/976001689823141888/nAseroTx_normal.jpg,Ecosistema de innovación pública 💡 Red Social | Laboratorio | Congreso #NovaGob2021 | #PremiosNovaGob ¿Colaboramos? ✉ info@novagob.org,blue,30,circularImage,<p><l>Username: <a href=https://twitter.com/novagob>novagob</a><br>Bio: Ecosistema de innovación pública 💡 Red Social | Laboratorio | Congreso #NovaGob2021 | #PremiosNovaGob ¿Colaboramos? ✉ info@novagob.org</p>,novagob,South America Issue
8,156010672,2,CLAD_Org,https://pbs.twimg.com/profile_images/903401793736110083/qhZQKC0G_normal.jpg,Organismo público internacional de carácter intergubernamental,blue,30,circularImage,<p><l>Username: <a href=https://twitter.com/CLAD_Org>CLAD_Org</a><br>Bio: Organismo público internacional de carácter intergubernamental</p>,CLAD_Org,South America Issue
9,284724697,2,redmatriz,https://pbs.twimg.com/profile_images/1294724635225989125/zmi6nJPp_normal.jpg,Papá de Lucas! Fundador/investigador @GIGAPP Profe @uchile Presidente @FMultitudes Co-Fundador & ED @GovTechHub & @DiploGobAbierto + @SoundCraftLab #OpenGovJedi,blue,30,circularImage,<p><l>Username: <a href=https://twitter.com/redmatriz>redmatriz</a><br>Bio: Papá de Lucas! Fundador/investigador @GIGAPP Profe @uchile Presidente @FMultitudes Co-Fundador & ED @GovTechHub & @DiploGobAbierto + @SoundCraftLab #OpenGovJedi</p>,redmatriz,South America Issue
